Date,AA UN Equity,AXP UN Equity,BA UN Equity,BAC UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DD UN Equity,DIS UN Equity,GE UN Equity,HD UN Equity,HPQ UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,PFE UN Equity,PG UN Equity,T UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,VZ UN Equity,WMT UN Equity,XOM UN Equity
2008/1/2,36.13,51.04,86.62,40.56,70.63,26.54,93.46,43.74,31.84,36.76,26.11,49.65,104.69,25.35,65.91,42.17,30.545,58.1,82.71,57.37,35.22,22.91,72.31,41,52.36,56.67,75.21,40.1949,46.9,93.51
2008/1/3,36.19,50.41,86.98,40.3,70.38,26.75,94.61,44.08,31.77,36.8,25.82,49.65,104.9,24.7,65.93,41.88,30.865,57.93,82.7,57.32,35.37,23.18,72.31,41.39,53.06,56.93,76.28,40.3809,46.38,93.83
2008/1/4,34.87,49.14,85.82,39.85,68.53,26.07,93.35,43.38,31.13,36.04,24.96,46.87,101.13,22.63,65.84,40.93,30.925,57.05,81.76,56.85,34.34,22.83,72.02,40.89,51.39,56,75.02,39.6275,45.72,92.08
2008/1/7,33.11,49.36,82.87,39.9,68.73,26.13,92.13,43.28,31.16,36.18,25.37,45.35,100.05,22.89,66.86,41.34,31.655,58.03,81.11,57.92,34.61,23.23,72.49,41.43,52.04,56.88,74.67,40.3251,46.56,91.22
2008/1/8,31,47.9,79.65,38.41,67.17,25.43,90.95,42.68,30.51,35.38,24.73,43.07,97.5,22.26,67.04,39.62,31.81,57.11,80.27,59.58,33.45,23.46,72.6,39.07,50.35,56.13,71.67,38.8368,45.95,90.18
2008/1/9,31.25,49.08,80.3,38.74,67.23,26.24,92.57,44.78,30.16,35.8,24.73,44.44,98.31,22.75,67.8,40.26,32.635,57.47,80.19,60.5,34.44,23.92,72.54,39,51.13,56.19,71.96,39.5065,46.9,91.56
2008/1/10,31.44,48.92,82.36,39.3,67.41,26.24,91.9,45.28,30.67,35.92,25.28,45.34,99.92,22.54,67.91,41.33,32.78,58.17,80.21,60.47,34.33,24.08,72.48,39.4,51.57,56.09,72.39,40.4181,48.4,91.66
2008/1/11,31.73,44,80.52,38.5,66.01,25.85,90.67,44.66,30.32,35.17,24.71,45,97.67,21.97,67.88,40.86,31.885,54.32,77.58,60.55,33.92,24.02,70.18,38.2,51.46,55.91,71.68,39.5344,47.72,90.3
2008/1/14,32.9,44.5,81.67,39.22,67.27,26.29,90.91,46.02,30.35,35.46,25.39,46.13,102.93,23.08,67.95,41.36,32.15,54.96,78.5,59.78,34.39,23.97,70.29,38.51,51.05,55.42,72.19,39.9902,47.67,90.83
2008/1/15,31.19,42.77,77.86,37.88,65.4,25.85,88.27,45.12,29.85,34.53,25.37,45.05,101.83,22.69,67.76,39.17,31.805,53.76,77.18,58.18,34,23.59,69.7,37.63,49.68,54.95,71.36,39.2275,46.99,89.02
2008/1/16,30.63,44.24,79.87,38.69,64.27,25.14,86.25,44.3,29.83,34.56,26.34,44.34,101.63,19.88,68.31,41.43,31.325,52.41,77.3,58.35,33.24,23.4,68.84,37.87,50.15,55.28,71.04,39.367,47.49,86.53
2008/1/17,28.79,42.67,79.52,36.91,62.47,24.4,82.75,42.8,28.77,33.21,26.25,43,101.1,19.35,67.83,40.04,31.02,51.98,74.96,54.87,33.01,22.96,68.07,37.3,47.43,54.37,68.09,38.0554,47.48,83.91
2008/1/18,29.1,43.61,78.4,35.97,62.81,24.31,83.46,42.7,28.51,34.31,26.28,43.75,103.4,19,66.29,39.59,30.37,52.4,74.91,53.32,33.01,22.5,67.15,36.11,46.19,54.4,68.05,36.3624,47.58,85.08
2008/1/22,28.79,43.34,77.6,37.39,63.82,23.48,81.25,42.54,28.12,34.05,28.2,42.72,101.31,18.61,65.27,40.86,29.395,52.45,75.16,51.35,31.96,22.16,65.13,35.96,46.17,51.22,67.24,35.1903,49.15,82.45
2008/1/23,29.13,46.32,76.46,40.67,65.12,24.1,81.34,45.28,28.49,34.6,29.95,43.19,106.25,19.94,64.33,45.67,29.415,52.99,76.04,50.3,31.98,22.81,66.26,36.53,46.39,50.28,71.01,35.4322,50.12,83.36
2008/1/24,30.81,47.11,77.62,39.9,65.25,25.11,83.67,45.45,29.23,34.65,29.56,44.89,106.91,20.69,63.51,44.96,29.94,54,75.73,49.56,33.25,23.05,66.15,35.75,46.41,49.82,72.56,35.5624,48.91,86
