Tickers,Company Names
A UN Equity,AGILENT TECH INC
AA UN Equity,ALCOA INC
AAN UN Equity,AARON'S INC
AAON UW Equity,AAON INC
AAP UN Equity,ADVANCE AUTO PAR
AAPL UW Equity,APPLE INC
AAT UN Equity,AMERICAN ASSETS
AAWW UW Equity,ATLAS AIR WORLDW
ABAX UW Equity,ABAXIS INC
ABBV UN Equity,ABBVIE INC
ABC UN Equity,AMERISOURCEBERGE
ABCB UW Equity,AMERIS BANCORP
ABCO UW Equity,ADVISORY BOARD
ABFS UW Equity,ARKANSAS BEST
ABG UN Equity,ASBURY AUTO GRP
ABM UN Equity,ABM INDUSTRIES
ABMD UW Equity,ABIOMED INC
ABT UN Equity,ABBOTT LABS
ACAD UQ Equity,ACADIA PHARMACEU
ACAS UW Equity,AMERICAN CAPITAL
ACAT UW Equity,ARCTIC CAT INC
ACC UN Equity,AMERICAN CAMPUS
ACCL UW Equity,ACCELRYS INC
ACCO UN Equity,ACCO BRANDS CORP
ACE UN Equity,ACE LTD
ACET UW Equity,ACETO CORP
ACFN UQ Equity,ACORN ENERGY INC
ACGL UW Equity,ARCH CAPITAL GRP
ACHC UW Equity,ACADIA HEALTHCAR
ACHN UW Equity,ACHILLION PHARMA
ACI UN Equity,ARCH COAL INC
ACIW UW Equity,ACI WORLDWIDE IN
ACLS UW Equity,AXCELIS TECH INC
ACM UN Equity,AECOM TECHNOLOGY
ACN UN Equity,ACCENTURE PLC-A
ACO UN Equity,AMCOL INTL CORP
ACOR UW Equity,ACORDA THERAPEUT
ACRE UN Equity,ARES COMMERCIAL
ACRX UQ Equity,ACELRX PHARMA
ACT UN Equity,ACTAVIS PLC
ACTG UW Equity,ACACIA RESEARCH
ACTV UN Equity,ACTIVE NETWORK I
ACW UN Equity,ACCURIDE CORP
ACXM UW Equity,ACXIOM CORP
ADBE UW Equity,ADOBE SYS INC
ADC UN Equity,AGREE REALTY
ADES UR Equity,ADVANCED EMISSIO
ADI UW Equity,ANALOG DEVICES
ADM UN Equity,ARCHER-DANIELS
ADNC UW Equity,AUDIENCE INC
ADP UW Equity,AUTOMATIC DATA
ADS UN Equity,ALLIANCE DATA
ADSK UW Equity,AUTODESK INC
ADT UN Equity,ADT CORP/THE
ADTN UW Equity,ADTRAN INC
ADUS UQ Equity,ADDUS HOMECARE
ADVS UW Equity,ADVENT SOFTWARE
AE UA Equity,ADAMS RESOURCES
AEC UN Equity,ASSOC ESTATES
AEE UN Equity,AMEREN CORP
AEGN UW Equity,AEGION CORP
AEGR UW Equity,AEGERION PHARMAC
AEIS UW Equity,ADV ENERGY INDS
AEL UN Equity,AMER EQUITY INVT
AEO UN Equity,AMER EAGLE OUTF
AEP UN Equity,AMERICAN ELECTRI
AEPI UW Equity,AEP INDUSTRIES
AES UN Equity,AES CORP
AET UN Equity,AETNA INC
AF UN Equity,ASTORIA FINL
AFAM UW Equity,ALMOST FAMILY IN
AFCE UW Equity,AFC ENTERPRISES
AFFX UW Equity,AFFYMETRIX INC
AFG UN Equity,AMER FINL GROUP
AFL UN Equity,AFLAC INC
AFOP UR Equity,ALLIANCE FIBER
AFSI UW Equity,AMTRUST FIN SERV
AGCO UN Equity,AGCO CORP
AGII UW Equity,ARGO GROUP INTER
AGIO UW Equity,AGIOS PHARMACEUT
AGM UN Equity,FED AGRI MTG-C
AGN UN Equity,ALLERGAN INC
AGNC UW Equity,AMERICAN CAPITAL
AGO UN Equity,ASSURED GUARANTY
AGX UN Equity,ARGAN INC
AGYS UW Equity,AGILYSYS INC
AH UN Equity,ACCRETIVE HEALTH
AHC UN Equity,AH BELO CORP-A
AHH UN Equity,ARMADA HOFFLER P
AHL UN Equity,ASPEN INSURANCE
AHS UN Equity,AMN HEALTHCARE
AHT UN Equity,ASHFORD HOSPITAL
AI UN Equity,ARLINGTON ASSE-A
AIG UN Equity,AMERICAN INTERNA
AIMC UW Equity,ALTRA HOLDINGS I
AIN UN Equity,ALBANY INTL CORP
AINV UW Equity,APOLLO INV CORP
AIQ UQ Equity,ALLIANCE HEALTHC
AIR UN Equity,AAR CORP
AIRM UW Equity,AIR METHODS CORP
AIT UN Equity,APPLIED INDU TEC
AIV UN Equity,APARTMENT INVEST
AIZ UN Equity,ASSURANT INC
AJG UN Equity,ARTHUR J GALLAGH
AKAM UW Equity,AKAMAI TECHNOLOG
AKR UN Equity,ACADIA REALTY
AKRX UW Equity,AKORN INC
AKS UN Equity,AK STEEL HLDG
AL UN Equity,AIR LEASE C
ALB UN Equity,ALBEMARLE CORP
ALCO UW Equity,ALICO INC
ALE UN Equity,ALLETE INC
ALEX UN Equity,ALEXANDER & BALD
ALG UN Equity,ALAMO GROUP
ALGN UW Equity,ALIGN TECHNOLOGY
ALGT UW Equity,ALLEGIANT TRAVEL
ALIM UQ Equity,ALIMERA SCIENCES
ALJ UN Equity,ALON USA ENERGY
ALK UN Equity,ALASKA AIR GROUP
ALKS UW Equity,ALKERMES PLC
ALL UN Equity,ALLSTATE CORP
ALNY UW Equity,ALNYLAM PHARMACE
ALOG UW Equity,ANALOGIC CORP
ALR UN Equity,ALERE INC
ALSN UN Equity,ALLISON TRANSMIS
ALTR UW Equity,ALTERA CORP
ALX UN Equity,ALEXANDER'S INC
ALXN UW Equity,ALEXION PHARM
